Format Version,1.1,Take Name,Take 2016-04-07 08.32.07 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 08.32.07.811 PM,Total Frames,2981,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10000,Marker_10000,Marker_10000,Marker_10002,Marker_10002,Marker_10002
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702712","8392B20CF49E35702712","8392B20CF49E35702712"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
337,2.808333,-2.093826,1.411569,2.801563,,,
338,2.816667,-2.093766,1.411605,2.801689,,,
339,2.825000,-2.093785,1.411658,2.801552,,,
340,2.833333,-2.093749,1.411662,2.801636,,,
341,2.841667,-2.093815,1.411610,2.801523,,,
342,2.850000,-2.093858,1.411628,2.801605,,,
343,2.858333,-2.093803,1.411635,2.801604,,,
344,2.866667,-2.093890,1.411629,2.801531,,,
345,2.875000,-2.093837,1.411641,2.801523,,,
346,2.883333,-2.093769,1.411605,2.801643,,,
347,2.891667,-2.093849,1.411610,2.801565,,,
348,2.900000,-2.093802,1.411646,2.801580,,,
349,2.908333,-2.093785,1.411653,2.801596,,,
350,2.916667,-2.093774,1.411591,2.801602,,,
351,2.925000,-2.093793,1.411613,2.801589,,,
352,2.933333,-2.093818,1.411613,2.801572,,,
353,2.941667,-2.093796,1.411575,2.801583,,,
354,2.950000,-2.093807,1.411653,2.801533,,,
355,2.958333,-2.093841,1.411666,2.801612,,,
356,2.966667,-2.093812,1.411556,2.801576,,,
357,2.975000,-2.093798,1.411606,2.801580,,,
358,2.983333,-2.093761,1.411619,2.801580,,,
359,2.991667,-2.093802,1.411633,2.801647,,,
360,3.000000,-2.093815,1.411657,2.801554,,,
361,3.008333,-2.093847,1.411603,2.801581,,,
362,3.016667,-2.093826,1.411583,2.801572,,,
363,3.025000,-2.093898,1.411649,2.801515,,,
364,3.033333,-2.093886,1.411661,2.801543,,,
365,3.041667,-2.093831,1.411705,2.801583,,,
366,3.050000,-2.093827,1.411577,2.801587,,,
367,3.058333,-2.093879,1.411557,2.801546,,,
368,3.066667,-2.093899,1.411616,2.801554,,,
369,3.075000,-2.093863,1.411648,2.801593,,,
