Format Version,1.1,Take Name,Take 2016-04-06 08.06.07 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-06 08.06.07.168 PM,Total Frames,2810,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker_10302,Marker_10302,Marker_10302
,,"8392B20CF49E3570283E","8392B20CF49E3570283E","8392B20CF49E3570283E"
,,Position,Position,Position
Frame,Time,X,Y,Z
362,3.016667,-3.410577,1.415430,3.989506
363,3.025000,-3.410533,1.415320,3.989507
364,3.033333,-3.410562,1.415373,3.989492
365,3.041667,-3.410524,1.415389,3.989491
366,3.050000,-3.410563,1.415440,3.989532
367,3.058333,-3.410564,1.415442,3.989583
368,3.066667,-3.410462,1.415432,3.989549
369,3.075000,-3.410489,1.415463,3.989598
370,3.083333,-3.410560,1.415325,3.989423
371,3.091667,-3.410571,1.415342,3.989538
372,3.100000,-3.410471,1.415447,3.989542
373,3.108333,-3.410517,1.415413,3.989497
374,3.116667,-3.410558,1.415391,3.989574
375,3.125000,-3.410580,1.415322,3.989509
376,3.133333,-3.410568,1.415331,3.989487
377,3.141667,-3.410577,1.415347,3.989481
378,3.150000,-3.410568,1.415309,3.989475
379,3.158333,-3.410483,1.415449,3.989539
380,3.166667,-3.410544,1.415302,3.989429
381,3.175000,-3.410550,1.415351,3.989495
382,3.183333,-3.410554,1.415419,3.989586
383,3.191667,-3.410599,1.415307,3.989517
384,3.200000,-3.410591,1.415369,3.989511
385,3.208333,-3.410627,1.415310,3.989491
386,3.216667,-3.410667,1.415339,3.989509
387,3.225000,-3.410602,1.415379,3.989528
388,3.233333,-3.410609,1.415324,3.989501
389,3.241667,-3.410633,1.415215,3.989421
390,3.250000,-3.410595,1.415326,3.989460
391,3.258333,-3.410461,1.415390,3.989541
392,3.266667,-3.410468,1.415398,3.989474
393,3.275000,-3.410605,1.415310,3.989529
394,3.283333,-3.410563,1.415292,3.989450
395,3.291667,-3.410467,1.415452,3.989560
396,3.300000,-3.410512,1.415222,3.989364
397,3.308333,-3.410572,1.415384,3.989567
398,3.316667,-3.410674,1.415336,3.989531
399,3.325000,-3.410612,1.415306,3.989479
400,3.333333,-3.410562,1.415376,3.989514
401,3.341667,-3.410540,1.415416,3.989498
402,3.350000,-3.410490,1.415426,3.989531
403,3.358333,-3.410522,1.415386,3.989508
404,3.366667,-3.410515,1.415320,3.989506
405,3.375000,-3.410571,1.415306,3.989443
406,3.383333,-3.410543,1.415280,3.989453
407,3.391667,-3.410591,1.415226,3.989437
408,3.400000,-3.410585,1.415130,3.989312
409,3.408333,-3.410562,1.415272,3.989401
410,3.416667,-3.410559,1.415231,3.989423
411,3.425000,-3.410529,1.415280,3.989425
412,3.433333,-3.410530,1.415360,3.989496
413,3.441667,-3.410541,1.415302,3.989480
414,3.450000,-3.410555,1.415299,3.989480
415,3.458333,-3.410585,1.415282,3.989482
416,3.466667,-3.410533,1.415333,3.989458
417,3.475000,-3.410572,1.415308,3.989470
418,3.483333,-3.410563,1.415310,3.989507
419,3.491667,-3.410562,1.415297,3.989513
420,3.500000,-3.410555,1.415218,3.989431
421,3.508333,-3.410524,1.415307,3.989443
422,3.516667,-3.410563,1.415267,3.989486
423,3.525000,-3.410596,1.415440,3.989583
424,3.533333,-3.410537,1.415411,3.989511
425,3.541667,-3.410521,1.415430,3.989563
426,3.550000,-3.410576,1.415315,3.989513
427,3.558333,-3.410573,1.415444,3.989541
428,3.566667,-3.410531,1.415333,3.989514
429,3.575000,-3.410567,1.415364,3.989531
430,3.583333,-3.410572,1.415326,3.989474
