Format Version,1.1,Take Name,Take 2016-04-06 08.07.11 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-06 08.07.11.120 PM,Total Frames,3226,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10302,Marker_10302,Marker_10302,Marker_10310,Marker_10310,Marker_10310
,,"8392B20CF49E3570283E","8392B20CF49E3570283E","8392B20CF49E3570283E","8392B20CF49E35702846","8392B20CF49E35702846","8392B20CF49E35702846"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
335,2.791667,-2.943230,1.423136,0.308035,,,
336,2.800000,-2.943207,1.423069,0.308013,,,
337,2.808333,-2.943244,1.423128,0.307983,,,
338,2.816667,-2.943262,1.423167,0.307991,,,
339,2.825000,-2.943277,1.423088,0.308022,,,
340,2.833333,-2.943229,1.423099,0.307949,,,
341,2.841667,-2.943256,1.423104,0.307986,,,
342,2.850000,-2.943311,1.423126,0.307945,,,
343,2.858333,-2.943211,1.423088,0.307980,,,
344,2.866667,-2.943262,1.423125,0.307943,,,
345,2.875000,-2.943296,1.423161,0.308004,,,
346,2.883333,-2.943260,1.423144,0.308011,,,
347,2.891667,-2.943264,1.423183,0.307993,,,
348,2.900000,-2.943310,1.423236,0.307971,,,
349,2.908333,-2.943256,1.423111,0.307978,,,
350,2.916667,-2.943301,1.423144,0.307943,,,
351,2.925000,-2.943237,1.423096,0.307972,,,
352,2.933333,-2.943255,1.423141,0.307993,,,
353,2.941667,-2.943237,1.423176,0.307989,,,
354,2.950000,-2.943291,1.423095,0.307927,,,
355,2.958333,-2.943243,1.423164,0.307961,,,
356,2.966667,-2.943189,1.423122,0.307953,,,
357,2.975000,-2.943299,1.423207,0.307957,,,
358,2.983333,-2.943314,1.423134,0.307928,,,
359,2.991667,-2.943293,1.423175,0.307968,,,
360,3.000000,-2.943301,1.423187,0.308000,,,
361,3.008333,-2.943306,1.423189,0.307990,,,
362,3.016667,-2.943326,1.423174,0.307973,,,
363,3.025000,-2.943281,1.423172,0.308037,,,
364,3.033333,-2.943316,1.423157,0.307990,,,
365,3.041667,-2.943335,1.423228,0.308012,,,
366,3.050000,-2.943293,1.423206,0.308001,,,
367,3.058333,-2.943316,1.423183,0.307980,,,
368,3.066667,-2.943327,1.423146,0.307926,,,
369,3.075000,-2.943299,1.423188,0.308014,,,
370,3.083333,-2.943274,1.423143,0.308015,,,
371,3.091667,-2.943314,1.423126,0.307950,,,
372,3.100000,-2.943256,1.423145,0.307992,,,
373,3.108333,-2.943250,1.423115,0.307918,,,
374,3.116667,-2.943234,1.423135,0.307989,,,
375,3.125000,-2.943252,1.423139,0.307951,,,
376,3.133333,-2.943227,1.423117,0.307985,,,
377,3.141667,-2.943267,1.423126,0.307973,,,
378,3.150000,-2.944205,1.422952,0.306489,,,
379,3.158333,-2.943292,1.423103,0.307960,,,
380,3.166667,-2.943229,1.423124,0.307947,,,
381,3.175000,-2.943263,1.423181,0.307969,,,
382,3.183333,-2.943287,1.423141,0.307980,,,
383,3.191667,-2.943223,1.423107,0.308010,,,
384,3.200000,-2.943270,1.423142,0.308027,,,
385,3.208333,-2.943264,1.423183,0.307981,,,
386,3.216667,-2.943284,1.423115,0.307912,,,
387,3.225000,-2.943264,1.423200,0.307922,,,
388,3.233333,-2.943280,1.423185,0.307992,,,
389,3.241667,-2.943326,1.423124,0.307930,,,
390,3.250000,-2.943233,1.423075,0.307954,,,
391,3.258333,-2.943227,1.423147,0.307947,,,
392,3.266667,-2.943216,1.423162,0.307914,,,
393,3.275000,-2.943284,1.423167,0.307961,,,
394,3.283333,-2.943246,1.423106,0.307948,,,
395,3.291667,-2.943266,1.423079,0.307940,,,
396,3.300000,-2.943230,1.423090,0.307951,,,
397,3.308333,-2.943280,1.423184,0.307974,,,
398,3.316667,-2.943249,1.423149,0.307986,,,
