Format Version,1.1,Take Name,Take 2016-04-07 09.26.14 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 09.26.14.430 PM,Total Frames,11477,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10363,Marker_10363,Marker_10363,Marker_10368,Marker_10368,Marker_10368,Marker_10367,Marker_10367,Marker_10367,Marker_10371,Marker_10371,Marker_10371,Marker_10373,Marker_10373,Marker_10373
,,"8392B20CF49E3570287B","8392B20CF49E3570287B","8392B20CF49E3570287B","8392B20CF49E35702880","8392B20CF49E35702880","8392B20CF49E35702880","8392B20CF49E3570287F","8392B20CF49E3570287F","8392B20CF49E3570287F","8392B20CF49E35702883","8392B20CF49E35702883","8392B20CF49E35702883","8392B20CF49E35702885","8392B20CF49E35702885","8392B20CF49E35702885"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
202,1.683333,0.084680,1.959759,-4.336564,,,,,,,,,,,,
203,1.691667,0.084757,1.959790,-4.336468,,,,,,,,,,,,
204,1.700000,0.084840,1.959592,-4.336329,,,,,,,,,,,,
205,1.708333,0.085110,1.959633,-4.336402,,,,,,,,,,,,
206,1.716667,0.084926,1.959696,-4.336193,,,,,,,,,,,,
207,1.725000,0.085005,1.959659,-4.336151,,,,,,,,,,,,
208,1.733333,0.084975,1.959645,-4.336231,,,,,,,,,,,,
209,1.741667,0.085101,1.959674,-4.336328,,,,,,,,,,,,
210,1.750000,0.083093,1.959986,-4.338911,,,,,,,,,,,,
211,1.758333,0.085193,1.959603,-4.336278,,,,,,,,,,,,
212,1.766667,0.085202,1.959711,-4.336138,,,,,,,,,,,,
213,1.775000,0.083147,1.960057,-4.338723,,,,,,,,,,,,
214,1.783333,0.085393,1.959701,-4.336249,,,,,,,,,,,,
215,1.791667,0.085343,1.959706,-4.336122,,,,,,,,,,,,
216,1.800000,0.085491,1.959606,-4.336331,,,,,,,,,,,,
217,1.808333,0.085545,1.959525,-4.336254,,,,,,,,,,,,
218,1.816667,0.085540,1.959621,-4.336139,,,,,,,,,,,,
219,1.825000,0.085569,1.959675,-4.336265,,,,,,,,,,,,
220,1.833333,0.085568,1.959627,-4.336075,,,,,,,,,,,,
221,1.841667,0.085512,1.959571,-4.336148,,,,,,,,,,,,
222,1.850000,0.085478,1.959618,-4.336247,,,,,,,,,,,,
223,1.858333,0.085588,1.959513,-4.336254,,,,,,,,,,,,
224,1.866667,0.085437,1.959638,-4.335948,,,,,,,,,,,,
225,1.875000,0.085421,1.959603,-4.336061,,,,,,,,,,,,
226,1.883333,0.085391,1.959692,-4.335909,,,,,,,,,,,,
227,1.891667,0.085408,1.959649,-4.335980,,,,,,,,,,,,
228,1.900000,0.085361,1.959641,-4.336063,,,,,,,,,,,,
229,1.908333,0.085434,1.959660,-4.335907,,,,,,,,,,,,
230,1.916667,0.085336,1.959626,-4.335986,,,,,,,,,,,,
231,1.925000,0.085374,1.959546,-4.336029,,,,,,,,,,,,
232,1.933333,0.085456,1.959653,-4.336108,,,,,,,,,,,,
233,1.941667,0.085449,1.959629,-4.336057,,,,,,,,,,,,
234,1.950000,0.085537,1.959625,-4.336168,,,,,,,,,,,,
235,1.958333,0.085415,1.959624,-4.335916,,,,,,,,,,,,
236,1.966667,0.085541,1.959656,-4.336068,,,,,,,,,,,,
237,1.975000,0.085519,1.959680,-4.336168,,,,,,,,,,,,
238,1.983333,0.085725,1.959562,-4.336164,,,,,,,,,,,,
239,1.991667,0.085600,1.959598,-4.335944,,,,,,,,,,,,
240,2.000000,0.085563,1.959634,-4.336009,,,,,,,,,,,,
241,2.008333,0.085782,1.959561,-4.336114,,,,,,,,,,,,
242,2.016667,0.085653,1.959540,-4.335852,,,,,,,,,,,,
243,2.025000,0.085641,1.959635,-4.335915,,,,,,,,,,,,
244,2.033333,0.085661,1.959571,-4.335853,,,,,,,,,,,,
245,2.041667,0.085543,1.959686,-4.335817,,,,,,,,,,,,
246,2.050000,0.085532,1.959659,-4.335798,,,,,,,,,,,,
247,2.058333,0.085539,1.959630,-4.335723,,,,,,,,,,,,
248,2.066667,0.085507,1.959576,-4.335828,,,,,,,,,,,,
249,2.075000,0.085523,1.959647,-4.335657,,,,,,,,,,,,
250,2.083333,0.085468,1.959566,-4.335810,,,,,,,,,,,,
251,2.091667,0.085421,1.959461,-4.335771,,,,,,,,,,,,
252,2.100000,0.085331,1.959544,-4.335670,,,,,,,,,,,,
253,2.108333,0.085396,1.959571,-4.335402,,,,,,,,,,,,
254,2.116667,0.085262,1.959512,-4.335485,,,,,,,,,,,,
255,2.125000,0.083195,1.959945,-4.338007,,,,,,,,,,,,
256,2.133333,0.085200,1.959554,-4.335425,,,,,,,,,,,,
257,2.141667,0.085235,1.959585,-4.335527,,,,,,,,,,,,
258,2.150000,0.085267,1.959594,-4.335393,,,,,,,,,,,,
259,2.158333,0.085258,1.959644,-4.335464,,,,,,,,,,,,
260,2.166667,0.085236,1.959471,-4.335546,,,,,,,,,,,,
261,2.175000,0.085378,1.959463,-4.335493,,,,,,,,,,,,
262,2.183333,0.083179,1.960080,-4.337899,,,,,,,,,,,,
263,2.191667,0.085359,1.959444,-4.335482,,,,,,,,,,,,
264,2.200000,0.083286,1.959882,-4.337926,,,,,,,,,,,,
265,2.208333,0.085375,1.959439,-4.335379,,,,,,,,,,,,
266,2.216667,0.085375,1.959493,-4.335223,,,,,,,,,,,,
267,2.225000,0.085384,1.959592,-4.335326,,,,,,,,,,,,
268,2.233333,0.085397,1.959539,-4.335078,,,,,,,,,,,,
269,2.241667,0.085283,1.959517,-4.335259,,,,,,,,,,,,
270,2.250000,0.083292,1.959941,-4.337747,,,,,,,,,,,,
271,2.258333,0.085304,1.959487,-4.335371,,,,,,,,,,,,
272,2.266667,0.085289,1.959574,-4.335227,,,,,,,,,,,,
273,2.275000,0.085274,1.959625,-4.335157,,,,,,,,,,,,
274,2.283333,0.085354,1.959568,-4.335185,,,,,,,,,,,,
275,2.291667,0.083192,1.960072,-4.337748,,,,,,,,,,,,
276,2.300000,0.085341,1.959670,-4.335006,,,,,,,,,,,,
277,2.308333,0.085434,1.959486,-4.335056,,,,,,,,,,,,
278,2.316667,0.085275,1.959578,-4.335142,,,,,,,,,,,,
279,2.325000,0.085339,1.959515,-4.335102,,,,,,,,,,,,
280,2.333333,0.085371,1.959485,-4.335159,,,,,,,,,,,,
281,2.341667,0.085412,1.959520,-4.335010,,,,,,,,,,,,
282,2.350000,0.085422,1.959678,-4.334925,,,,,,,,,,,,
283,2.358333,0.085384,1.959490,-4.335012,,,,,,,,,,,,
284,2.366667,0.085457,1.959534,-4.334988,,,,,,,,,,,,
285,2.375000,0.085398,1.959557,-4.334829,,,,,,,,,,,,
286,2.383333,0.085327,1.959513,-4.334851,,,,,,,,,,,,
287,2.391667,0.085522,1.959530,-4.334716,,,,,,,,,,,,
288,2.400000,0.085335,1.959530,-4.334685,,,,,,,,,,,,
289,2.408333,0.085340,1.959557,-4.334702,,,,,,,,,,,,
290,2.416667,0.083258,1.959849,-4.337075,,,,,,,,,,,,
291,2.425000,0.083158,1.959870,-4.337276,,,,,,,,,,,,
292,2.433333,0.083227,1.959780,-4.337241,,,,,,,,,,,,
293,2.441667,0.085255,1.959461,-4.334606,,,,,,,,,,,,
294,2.450000,0.083274,1.959763,-4.337236,,,,,,,,,,,,
295,2.458333,0.085256,1.959508,-4.334493,,,,,,,,,,,,
296,2.466667,0.085276,1.959471,-4.334507,,,,,,,,,,,,
297,2.475000,0.083139,1.959790,-4.337090,,,,,,,,,,,,
298,2.483333,0.083270,1.959780,-4.337152,,,,,,,,,,,,
299,2.491667,0.083057,1.959835,-4.337177,,,,,,,,,,,,
300,2.500000,0.083111,1.959837,-4.337170,,,,,,,,,,,,
301,2.508333,0.083165,1.959778,-4.337138,,,,,,,,,,,,
302,2.516667,0.085150,1.959505,-4.334686,,,,,,,,,,,,
303,2.525000,0.083131,1.959981,-4.337214,,,,,,,,,,,,
304,2.533333,0.083180,1.959843,-4.337185,,,,,,,,,,,,
305,2.541667,0.083157,1.959847,-4.337166,,,,,,,,,,,,
306,2.550000,0.083165,1.959894,-4.337132,,,,,,,,,,,,
307,2.558333,0.083236,1.959899,-4.337250,,,,,,,,,,,,
308,2.566667,0.085276,1.959504,-4.334469,,,,,,,,,,,,
309,2.575000,0.083179,1.959931,-4.337178,,,,,,,,,,,,
310,2.583333,0.085237,1.959601,-4.334561,,,,,,,,,,,,
311,2.591667,0.083260,1.959962,-4.337245,,,,,,,,,,,,
312,2.600000,0.085520,1.959555,-4.334662,,,,,,,,,,,,
313,2.608333,0.085423,1.959396,-4.334759,,,,,,,,,,,,
314,2.616667,0.085494,1.959494,-4.334808,,,,,,,,,,,,
315,2.625000,0.085637,1.959493,-4.334556,,,,,,,,,,,,
316,2.633333,0.085842,1.959469,-4.334850,,,,,,,,,,,,
317,2.641667,0.085942,1.959461,-4.334932,,,,,,,,,,,,
318,2.650000,0.085986,1.959394,-4.334860,,,,,,,,,,,,
319,2.658333,0.086215,1.959554,-4.334761,,,,,,,,,,,,
320,2.666667,0.086251,1.959539,-4.334932,,,,,,,,,,,,
321,2.675000,0.086368,1.959557,-4.334848,,,,,,,,,,,,
322,2.683333,0.086453,1.959568,-4.334847,,,,,,,,,,,,
323,2.691667,0.086669,1.959517,-4.335051,,,,,,,,,,,,
324,2.700000,0.086804,1.959459,-4.335210,,,,,,,,,,,,
325,2.708333,0.086974,1.959521,-4.335311,,,,,,,,,,,,
326,2.716667,0.087169,1.959583,-4.335552,,,,,,,,,,,,
327,2.725000,0.087207,1.959633,-4.335659,,,,,,,,,,,,
328,2.733333,0.085466,1.960029,-4.338178,,,,,,,,,,,,
329,2.741667,0.085437,1.960114,-4.338131,,,,,,,,,,,,
330,2.750000,0.085476,1.960110,-4.338033,,,,,,,,,,,,
331,2.758333,0.085744,1.960059,-4.337950,,,,,,,,,,,,
332,2.766667,0.085673,1.960151,-4.337951,,,,,,,,,,,,
333,2.775000,0.085726,1.960084,-4.337938,,,,,,,,,,,,
334,2.783333,0.085917,1.960190,-4.337808,,,,,,,,,,,,
