Format Version,1.1,Take Name,Take 2016-04-07 09.30.11 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 09.30.11.679 PM,Total Frames,8363,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10008,Marker_10008,Marker_10008,Marker_10009,Marker_10009,Marker_10009,Marker_10010,Marker_10010,Marker_10010
,,"8392B20CF49E35702718","8392B20CF49E35702718","8392B20CF49E35702718","8392B20CF49E35702719","8392B20CF49E35702719","8392B20CF49E35702719","8392B20CF49E3570271A","8392B20CF49E3570271A","8392B20CF49E3570271A"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
218,1.816667,-3.601564,1.944931,-3.675856,,,,,,
219,1.825000,-3.601526,1.944986,-3.675950,,,,,,
220,1.833333,-3.601508,1.944915,-3.675815,,,,,,
221,1.841667,-3.601490,1.944898,-3.675824,,,,,,
222,1.850000,-3.601428,1.944995,-3.675837,,,,,,
223,1.858333,-3.601346,1.944993,-3.675790,,,,,,
224,1.866667,-3.601079,1.945010,-3.675810,,,,,,
225,1.875000,-3.601067,1.945134,-3.675542,,,,,,
226,1.883333,-3.600739,1.945067,-3.675783,,,,,,
227,1.891667,-3.600504,1.945119,-3.675659,,,,,,
228,1.900000,-3.600288,1.945086,-3.675607,,,,,,
229,1.908333,-3.600055,1.945054,-3.675498,,,,,,
230,1.916667,-3.599935,1.945191,-3.675539,,,,,,
231,1.925000,-3.599627,1.945140,-3.675506,,,,,,
232,1.933333,-3.599436,1.945176,-3.675407,,,,,,
233,1.941667,-3.599224,1.945215,-3.675395,,,,,,
234,1.950000,-3.598978,1.945301,-3.675519,,,,,,
235,1.958333,-3.598819,1.945222,-3.675502,,,,,,
236,1.966667,-3.598583,1.945300,-3.675236,,,,,,
237,1.975000,-3.598446,1.945163,-3.675582,,,,,,
238,1.983333,-3.598429,1.945221,-3.675523,,,,,,
239,1.991667,-3.598195,1.945209,-3.675628,,,,,,
240,2.000000,-3.598278,1.945303,-3.675498,,,,,,
241,2.008333,-3.602692,1.945753,-3.679855,,,,,,
242,2.016667,-3.598241,1.945112,-3.675992,,,,,,
243,2.025000,-3.598206,1.945217,-3.675822,,,,,,
244,2.033333,-3.598313,1.945269,-3.675859,,,,,,
245,2.041667,-3.598236,1.945138,-3.676058,,,,,,
246,2.050000,-3.598238,1.945086,-3.676261,,,,,,
247,2.058333,-3.598344,1.945163,-3.676180,,,,,,
