Format Version,1.1,Take Name,Take 2016-04-07 08.33.14 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 08.33.14.076 PM,Total Frames,3720,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10000,Marker_10000,Marker_10000,Marker_10014,Marker_10014,Marker_10014,Marker_10015,Marker_10015,Marker_10015,Marker_10016,Marker_10016,Marker_10016,Marker_10017,Marker_10017,Marker_10017,Marker_10019,Marker_10019,Marker_10019
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E3570271E","8392B20CF49E3570271E","8392B20CF49E3570271E","8392B20CF49E3570271F","8392B20CF49E3570271F","8392B20CF49E3570271F","8392B20CF49E35702720","8392B20CF49E35702720","8392B20CF49E35702720","8392B20CF49E35702721","8392B20CF49E35702721","8392B20CF49E35702721","8392B20CF49E35702723","8392B20CF49E35702723","8392B20CF49E35702723"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
197,1.641667,-2.310308,1.423822,1.461372,,,,,,,,,,,,,,,
198,1.650000,-2.310316,1.423805,1.461300,,,,,,,,,,,,,,,
199,1.658333,-2.310328,1.423780,1.461314,,,,,,,,,,,,,,,
200,1.666667,-2.310359,1.423832,1.461234,,,,,,,,,,,,,,,
201,1.675000,-2.310271,1.423815,1.461286,,,,,,,,,,,,,,,
202,1.683333,-2.310270,1.423761,1.461298,,,,,,,,,,,,,,,
203,1.691667,-2.310300,1.423816,1.461320,,,,,,,,,,,,,,,
204,1.700000,-2.310305,1.423791,1.461322,,,,,,,,,,,,,,,
205,1.708333,-2.310223,1.423769,1.461286,,,,,,,,,,,,,,,
206,1.716667,-2.310345,1.423824,1.461257,,,,,,,,,,,,,,,
207,1.725000,-2.310298,1.423782,1.461286,,,,,,,,,,,,,,,
208,1.733333,-2.310335,1.423740,1.461208,,,,,,,,,,,,,,,
209,1.741667,-2.310282,1.423759,1.461267,,,,,,,,,,,,,,,
210,1.750000,-2.310338,1.423802,1.461230,,,,,,,,,,,,,,,
211,1.758333,-2.310319,1.423801,1.461215,,,,,,,,,,,,,,,
212,1.766667,-2.310250,1.423765,1.461198,,,,,,,,,,,,,,,
213,1.775000,-2.310260,1.423772,1.461277,,,,,,,,,,,,,,,
214,1.783333,-2.310270,1.423797,1.461246,,,,,,,,,,,,,,,
215,1.791667,-2.310242,1.423766,1.461341,,,,,,,,,,,,,,,
216,1.800000,-2.310245,1.423737,1.461301,,,,,,,,,,,,,,,
217,1.808333,-2.310352,1.423754,1.461356,,,,,,,,,,,,,,,
218,1.816667,-2.310242,1.423726,1.461265,,,,,,,,,,,,,,,
219,1.825000,-2.310252,1.423738,1.461339,,,,,,,,,,,,,,,
220,1.833333,-2.310310,1.423831,1.461361,,,,,,,,,,,,,,,
221,1.841667,-2.310340,1.423812,1.461283,,,,,,,,,,,,,,,
222,1.850000,-2.310343,1.423880,1.461306,,,,,,,,,,,,,,,
223,1.858333,-2.310323,1.423842,1.461280,,,,,,,,,,,,,,,
224,1.866667,-2.310320,1.423830,1.461342,,,,,,,,,,,,,,,
225,1.875000,-2.310281,1.423833,1.461391,,,,,,,,,,,,,,,
226,1.883333,-2.310326,1.423795,1.461314,,,,,,,,,,,,,,,
227,1.891667,-2.310288,1.423752,1.461389,,,,,,,,,,,,,,,
228,1.900000,-2.310278,1.423802,1.461304,,,,,,,,,,,,,,,
229,1.908333,-2.310305,1.423760,1.461373,,,,,,,,,,,,,,,
230,1.916667,-2.310307,1.423771,1.461332,,,,,,,,,,,,,,,
231,1.925000,-2.310302,1.423771,1.461432,,,,,,,,,,,,,,,
232,1.933333,-2.310239,1.423783,1.461396,,,,,,,,,,,,,,,
233,1.941667,-2.310224,1.423796,1.461364,,,,,,,,,,,,,,,
234,1.950000,-2.310303,1.423783,1.461322,,,,,,,,,,,,,,,
235,1.958333,-2.310284,1.423782,1.461303,,,,,,,,,,,,,,,
236,1.966667,-2.310330,1.423787,1.461307,,,,,,,,,,,,,,,
237,1.975000,-2.310309,1.423828,1.461314,,,,,,,,,,,,,,,
238,1.983333,-2.310281,1.423781,1.461390,,,,,,,,,,,,,,,
239,1.991667,-2.310294,1.423791,1.461315,,,,,,,,,,,,,,,
240,2.000000,-2.310272,1.423705,1.461394,,,,,,,,,,,,,,,
241,2.008333,-2.310213,1.423718,1.461287,,,,,,,,,,,,,,,
242,2.016667,-2.310228,1.423795,1.461356,,,,,,,,,,,,,,,
243,2.025000,-2.310222,1.423718,1.461249,,,,,,,,,,,,,,,
244,2.033333,-2.310258,1.423798,1.461365,,,,,,,,,,,,,,,
245,2.041667,-2.310236,1.423768,1.461345,,,,,,,,,,,,,,,
246,2.050000,-2.310243,1.423711,1.461330,,,,,,,,,,,,,,,
247,2.058333,-2.310277,1.423753,1.461290,,,,,,,,,,,,,,,
248,2.066667,-2.310268,1.423707,1.461313,,,,,,,,,,,,,,,
249,2.075000,-2.310313,1.423849,1.461362,,,,,,,,,,,,,,,
250,2.083333,-2.310272,1.423740,1.461371,,,,,,,,,,,,,,,
